Package-Name,Link,Path,Date-Download,Trigger,Objective,Description,Cluster,Query
zilliqa-social-pay,"npmjs.com/package/zilliqa-social-pay",/package/index.js,23.05,Install,Unknown,Requests some unknown IP address and saves itself as dependency,1,dependency-save
zrc2-wallet-zilliqa,"npmjs.com/package/zrc2-wallet-zilliqa",/package/index.js,23.05,Install,Unknown,Requests some unknown IP address and saves itself as dependency,1,dependency-save
link-bubble,"npmjs.com/package/link-bubble",/package/index.js,23.05,Install,Unknown,Requests some unknown IP address and saves itself as dependency,1,dependency-save
linkbubble-website,"npmjs.com/package/linkbubble-website",/package/index.js,23.05,Install,Unknown,Requests some unknown IP address and saves itself as dependency,1,dependency-save
misk-web-tab-app,"npmjs.com/package/misk-web-tab-app",/package/index.js,23.05,Install,Unknown,Requests some unknown IP address and saves itself as dependency,1,dependency-save
misk-web-tab-config,"npmjs.com/package/misk-web-tab-config",/package/index.js,23.05,Install,Unknown,Requests some unknown IP address and saves itself as dependency,1,dependency-save
misk-web-tab-database,"npmjs.com/package/misk-web-tab-database",/package/index.js,23.05,Install,Unknown,Requests some unknown IP address and saves itself as dependency,1,dependency-save
misk-web-docs,"npmjs.com/package/misk-web-docs",/package/index.js,23.05,Install,Unknown,Requests some unknown IP address and saves itself as dependency,1,dependency-save
misk-web-tab-admin-dashboard,"npmjs.com/package/misk-web-tab-admin-dashboard",/package/index.js,23.05,Install,Unknown,Requests some unknown IP address and saves itself as dependency,1,dependency-save
misk-web-tab-template-basic,"npmjs.com/package/misk-web-tab-template-basic",/package/index.js,23.05,Install,Unknown,Requests some unknown IP address and saves itself as dependency,1,dependency-save
misk-web-tab-web-actions,"npmjs.com/package/misk-web-tab-web-actions",/package/index.js,23.05,Install,Unknown,Requests some unknown IP address and saves itself as dependency,1,dependency-save
misk-webadmin,"npmjs.com/package/misk-webadmin",/package/index.js,23.05,Install,Unknown,Requests some unknown IP address and saves itself as dependency,1,dependency-save
multisig,"npmjs.com/package/multisig",/package/index.js,23.05,Install,Unknown,Requests some unknown IP address and saves itself as dependency,1,dependency-save
neo-savant,"npmjs.com/package/neo-savant",/package/index.js,23.05,Install,Unknown,Requests some unknown IP address and saves itself as dependency,1,dependency-save
nucleus-wallet,"npmjs.com/package/nucleus-wallet",/package/index.js,23.05,Install,Unknown,Requests some unknown IP address and saves itself as dependency,1,dependency-save
onepassword_events_api,"npmjs.com/package/onepassword_events_api",/package/index.js,23.05,Install,Unknown,Requests some unknown IP address and saves itself as dependency,1,dependency-save
downloadkubernetes,"npmjs.com/package/downloadkubernetes",/package/index.js,24.05,Install,Unknown,Requests some unknown IP address and saves itself as dependency,1,dependency-save
jira-cloud-for-sketch,"npmjs.com/package/jira-cloud-for-sketch",/package/index.js,24.05,Install,Unknown,Requests some unknown IP address and saves itself as dependency,1,dependency-save
jira-frontend,"npmjs.com/package/jira-frontend",/package/index.js,24.05,Install,Unknown,Requests some unknown IP address and saves itself as dependency,1,dependency-save
kruit,"npmjs.com/package/kruit",/package/index.js,24.05,Install,Unknown,Requests some unknown IP address and saves itself as dependency,1,dependency-save
kubernetes-dashboard,"npmjs.com/package/kubernetes-dashboard",/package/index.js,24.05,Install,Unknown,Requests some unknown IP address and saves itself as dependency,1,dependency-save
kubernetes-ui,"npmjs.com/package/kubernetes-ui",/package/index.js,24.05,Install,Unknown,Requests some unknown IP address and saves itself as dependency,1,dependency-save
aframe-vimeo-component,"npmjs.com/package/aframe-vimeo-component",/package/index.js,23.05,Install,Unknown,Requests some unknown IP address and saves itself as dependency,1,dependency-save
ai-aws-manager,"npmjs.com/package/ai-aws-manager",/package/index.js,23.05,Install,Unknown,Requests some unknown IP address and saves itself as dependency,1,dependency-save
ai-cluster-manager,"npmjs.com/package/ai-cluster-manager",/package/index.js,23.05,Install,Unknown,Requests some unknown IP address and saves itself as dependency,1,dependency-save
atlassian-sketch-plugin,"npmjs.com/package/atlassian-sketch-plugin",/package/index.js,23.05,Install,Unknown,Requests some unknown IP address and saves itself as dependency,1,dependency-save
brave-bitgo-client,"npmjs.com/package/brave-bitgo-client",/package/index.js,23.05,Install,Unknown,Requests some unknown IP address and saves itself as dependency,1,dependency-save
brave-core,"npmjs.com/package/brave-core",/package/index.js,23.05,Install,Unknown,Requests some unknown IP address and saves itself as dependency,1,dependency-save
brave-eyeshade,"npmjs.com/package/brave-eyeshade",/package/index.js,23.05,Install,Unknown,Requests some unknown IP address and saves itself as dependency,1,dependency-save
brave-extension,"npmjs.com/package/brave-extension",/package/index.js,23.05,Install,Unknown,Requests some unknown IP address and saves itself as dependency,1,dependency-save
brave-chromium-themes,"npmjs.com/package/brave-chromium-themes",/package/index.js,23.05,Install,Unknown,Requests some unknown IP address and saves itself as dependency,1,dependency-save
brave-core-crx-packager,"npmjs.com/package/brave-core-crx-packager",/package/index.js,23.05,Install,Unknown,Requests some unknown IP address and saves itself as dependency,1,dependency-save
brave-ios,"npmjs.com/package/brave-ios",/package/index.js,23.05,Install,Unknown,Requests some unknown IP address and saves itself as dependency,1,dependency-save
brave-ledger,"npmjs.com/package/brave-ledger",/package/index.js,23.05,Install,Unknown,Requests some unknown IP address and saves itself as dependency,1,dependency-save
brave-research-participation-tool,"npmjs.com/package/brave-research-participation-tool",/package/index.js,23.05,Install,Unknown,Requests some unknown IP address and saves itself as dependency,1,dependency-save
web-excess,"npmjs.com/package/web-excess",/package/index.js,23.05,Install,Data Exfiltration,Steals specific package and OS information and sends it using DNS to claim bug bounty (harbitz),2,theft-dns
rc-trigger-popup,"npmjs.com/package/rc-trigger-popup",/package/index.js,23.05,Install,Data Exfiltration,Steals specific package and OS information and sends it using DNS to claim bug bounty (harbitz),2,theft-dns
orion-web,"npmjs.com/package/orion-web",/package/index.js,23.05,Install,Data Exfiltration,Steals specific package and OS information and sends it using DNS to claim bug bounty (harbitz),2,theft-dns
gd-activity-tracker,"npmjs.com/package/gd-activity-tracker",/package/index.js,24.05,Install,Data Exfiltration,Steals specific package and OS information and sends it using DNS to claim bug bounty (harbitz),2,theft-dns
@strava/clio,"npmjs.com/package/@strava/clio",/package/index.js,23.05,Install,Data Exfiltration,Steals specific package and OS information and sends it using DNS to claim bug bounty (harbitz),2,theft-dns
@transaction-history/ui-components,"npmjs.com/package/@transaction-history/ui-components",/package/index.js,23.05,Install,Data Exfiltration,Steals specific package and OS information and sends it using DNS to claim bug bounty (harbitz),2,theft-dns
acronis-ui-kit,"npmjs.com/package/acronis-ui-kit",/package/index.js,23.05,Install,Data Exfiltration,Steals specific package and OS information and sends it using DNS to claim bug bounty (harbitz),2,theft-dns
@chegg-me-components/header,"npmjs.com/package/@chegg-me-components/header",/package/index.js,25.05,Install,Data Exfiltration,Steals specific package and OS information and sends it using DNS to claim bug bounty (harbitz),2,theft-dns
@design-components/customer,"npmjs.com/package/@design-components/customer",/package/index.js,25.05,Install,Data Exfiltration,Steals specific package and OS information and sends it using DNS to claim bug bounty (harbitz),2,theft-dns
@pixiv-vroid-hub/vroid-hub-viewer,"npmjs.com/package/@pixiv-vroid-hub/vroid-hub-viewer",/package/index.js,25.05,Install,Data Exfiltration,Steals specific package and OS information and sends it using DNS to claim bug bounty (harbitz),2,theft-dns
zomato-ui,"npmjs.com/package/zomato-ui",/package/index.js,23.05,Install,Data Exiltration,Steals specific package and OS information and sends it using DNS to claim bug bounty (alxbrsn),2,theft-dns
paytm-kafka-rest,"npmjs.com/package/paytm-kafka-rest",/package/index.js,23.05,Install,Data Exiltration,Steals specific package and OS information and sends it using DNS to claim bug bounty (alxbrsn),2,theft-dns
ptmproc,"npmjs.com/package/ptmproc",/package/index.js,23.05,Install,Data Exiltration,Steals specific package and OS information and sends it using DNS to claim bug bounty (alxbrsn),2,theft-dns
dashboard-modules,"npmjs.com/package/dashboard-modules",/package/index.js,24.05,Install,Data Exiltration,Steals specific package and OS information and sends it using DNS to claim bug bounty (alxbrsn),2,theft-dns
holvi-validation,"npmjs.com/package/holvi-validation",/package/index.js,24.05,Install,Data Exiltration,Steals specific package and OS information and sends it using DNS to claim bug bounty (alxbrsn),2,theft-dns
sp-bootstrap,"npmjs.com/package/sp-bootstrap",/package/index.js,23.05,Install,Data Exfiltration,Steals ENV variables and sends them using HTTP Request,3,theft-environment
sushi-client,"npmjs.com/package/sushi-client",/package/index.js,23.05,Install,Data Exfiltration,Steals ENV variables and sends them using HTTP Request,3,theft-environment
@prescreen/distillery,"npmjs.com/package/@prescreen/distillery",/package/index.js,25.05,Install,Data Exfiltration,Steals ENV variables and sends them using HTTP Request (without filtering),3,theft-environment
test-depss,"npmjs.com/package/test-depss",/package/index.js,23.05,Runtime,Unknown,Executes a curl command to some unknown address,4,other-shell
node-dvnr,"npmjs.com/package/node-dvnr",/package/package.json,23.05,Install,Unknown,Installs some unknown package and adds it as dependency,5,dependency-install
on-running-script-context,"npmjs.com/package/on-running-script-context",/package/build.js,23.05,Install,Data Exfiltration,Sends OS information (hostname & username & network-interfaces & CWD) through ping command,6,theft-ping
angieslist-visitor-app-common,"npmjs.com/package/angieslist-visitor-app-common",/package/index.js,23.05,Install,Data Exfiltration,Sends package & DNS & OS information (homedir & hostname & username) to unknown address,7,theft-os
discordjs-selfbotjs,"npmjs.com/package/discordjs-selfbotjs",/package/data/index.js,24.05,Install,Data Exfiltration,Seems to contain a bunch of different malicious behaviours related mostly to Discord (also targetting other popular apps),8,discord-ware
epic-ue-fonts,"npmjs.com/package/epic-ue-fonts",/package/nzhtdtm.js,24.05,Install,Data Exiltration,Seems to steal ENV variables with a heavily obfuscated source code,9,theft-encoded
color-xzibit,"npmjs.com/package/color-xzibit",/package/colors/eval.js,23.05,Runtime,Data Exfiltration,Seems to steal discord tokens (and some OS information) with an HTTP Request,10,discord-steal
@adam_baldwin/sample_4,"npmjs.com/package/@adam_baldwin/sample_4",/package/postinstall.js,25.05,Install,Unknown,Uses library Wreck to GET a payload from an unknown address,11,other-request
@blackice12/tiny,"npmjs.com/package/@blackice12/tiny",/package/index.js,25.05,Runtime,Backdoor,Targets 'discord_voice' functionality appending malicious behaviour,12,discord-injection
