tool,category,total_packages,detected,missed,detection_rate
guarddog,Encoding_Obfuscation,374,286,88,0.7647058823529411
guarddog,String_Obfuscation,541,345,196,0.6377079482439926
guarddog,Hook_Abuse,352,349,3,0.9914772727272728
guarddog,Silent_Error_Handling,366,307,59,0.8387978142076503
guarddog,Code_Structure_Obfuscation,325,233,92,0.7169230769230769
guarddog,Anti_Analysis,54,12,42,0.2222222222222222
guarddog,Network_Communication_Hiding,144,139,5,0.9652777777777778
guarddog,Stealth_Execution,263,149,114,0.5665399239543726
guarddog,Environment_Detection,117,74,43,0.6324786324786325
guarddog,Module_Abuse,175,150,25,0.8571428571428571
guarddog,Trace_Cleanup,30,30,0,1.0
guarddog,Dependency_Confusion,6,6,0,1.0
guarddog,Typosquatting,4,3,1,0.75
guarddog,Runtime_Caching,4,3,1,0.75
sap_RF,Encoding_Obfuscation,374,250,124,0.6684491978609626
sap_RF,String_Obfuscation,541,168,373,0.310536044362292
sap_RF,Hook_Abuse,352,251,101,0.7130681818181818
sap_RF,Silent_Error_Handling,366,201,165,0.5491803278688525
sap_RF,Code_Structure_Obfuscation,325,128,197,0.3938461538461538
sap_RF,Anti_Analysis,54,3,51,0.0555555555555555
sap_RF,Network_Communication_Hiding,144,113,31,0.7847222222222222
sap_RF,Stealth_Execution,263,64,199,0.2433460076045627
sap_RF,Environment_Detection,117,39,78,0.3333333333333333
sap_RF,Module_Abuse,175,123,52,0.7028571428571428
sap_RF,Trace_Cleanup,30,3,27,0.1
sap_RF,Dependency_Confusion,6,6,0,1.0
sap_RF,Typosquatting,4,3,1,0.75
sap_RF,Runtime_Caching,4,2,2,0.5
packj_trace,Encoding_Obfuscation,374,364,10,0.9732620320855616
packj_trace,String_Obfuscation,541,447,94,0.8262476894639557
packj_trace,Hook_Abuse,352,315,37,0.8948863636363636
packj_trace,Silent_Error_Handling,366,336,30,0.918032786885246
packj_trace,Code_Structure_Obfuscation,325,279,46,0.8584615384615385
packj_trace,Anti_Analysis,54,52,2,0.9629629629629628
packj_trace,Network_Communication_Hiding,144,141,3,0.9791666666666666
packj_trace,Stealth_Execution,263,202,61,0.7680608365019012
packj_trace,Environment_Detection,117,84,33,0.717948717948718
packj_trace,Module_Abuse,175,165,10,0.9428571428571428
packj_trace,Trace_Cleanup,30,19,11,0.6333333333333333
packj_trace,Dependency_Confusion,6,6,0,1.0
packj_trace,Typosquatting,4,3,1,0.75
packj_trace,Runtime_Caching,4,4,0,1.0
sap_DT,Encoding_Obfuscation,374,249,125,0.6657754010695187
sap_DT,String_Obfuscation,541,167,374,0.3086876155268022
sap_DT,Hook_Abuse,352,248,104,0.7045454545454546
sap_DT,Silent_Error_Handling,366,199,167,0.5437158469945356
sap_DT,Code_Structure_Obfuscation,325,128,197,0.3938461538461538
sap_DT,Anti_Analysis,54,3,51,0.0555555555555555
sap_DT,Network_Communication_Hiding,144,111,33,0.7708333333333334
sap_DT,Stealth_Execution,263,64,199,0.2433460076045627
sap_DT,Environment_Detection,117,39,78,0.3333333333333333
sap_DT,Module_Abuse,175,121,54,0.6914285714285714
sap_DT,Trace_Cleanup,30,3,27,0.1
sap_DT,Dependency_Confusion,6,6,0,1.0
sap_DT,Typosquatting,4,3,1,0.75
sap_DT,Runtime_Caching,4,2,2,0.5
packj_static,Encoding_Obfuscation,374,373,1,0.997326203208556
packj_static,String_Obfuscation,541,512,29,0.9463955637707948
packj_static,Hook_Abuse,352,339,13,0.9630681818181818
packj_static,Silent_Error_Handling,366,359,7,0.9808743169398908
packj_static,Code_Structure_Obfuscation,325,309,16,0.9507692307692308
packj_static,Anti_Analysis,54,54,0,1.0
packj_static,Network_Communication_Hiding,144,143,1,0.9930555555555556
packj_static,Stealth_Execution,263,240,23,0.9125475285171104
packj_static,Environment_Detection,117,103,14,0.8803418803418803
packj_static,Module_Abuse,175,172,3,0.9828571428571428
packj_static,Trace_Cleanup,30,18,12,0.6
packj_static,Dependency_Confusion,6,6,0,1.0
packj_static,Typosquatting,4,4,0,1.0
packj_static,Runtime_Caching,4,4,0,1.0
cerebro,Stealth_Execution,203,63,140,0.3103448275862069
cerebro,String_Obfuscation,419,140,279,0.3341288782816229
cerebro,Encoding_Obfuscation,338,194,144,0.5739644970414202
cerebro,Module_Abuse,141,112,29,0.7943262411347518
cerebro,Network_Communication_Hiding,127,99,28,0.7795275590551181
cerebro,Silent_Error_Handling,306,175,131,0.5718954248366013
cerebro,Hook_Abuse,227,124,103,0.5462555066079295
cerebro,Trace_Cleanup,24,20,4,0.8333333333333334
cerebro,Code_Structure_Obfuscation,265,112,153,0.4226415094339623
cerebro,Anti_Analysis,50,4,46,0.08
cerebro,Environment_Detection,96,25,71,0.2604166666666667
cerebro,Typosquatting,4,2,2,0.5
cerebro,Runtime_Caching,4,2,2,0.5
malpacdetector_mlp,Stealth_Execution,228,162,66,0.7105263157894737
malpacdetector_mlp,String_Obfuscation,486,377,109,0.7757201646090535
malpacdetector_mlp,Encoding_Obfuscation,350,273,77,0.78
malpacdetector_mlp,Module_Abuse,163,152,11,0.9325153374233128
malpacdetector_mlp,Network_Communication_Hiding,140,133,7,0.95
malpacdetector_mlp,Silent_Error_Handling,343,315,28,0.9183673469387755
malpacdetector_mlp,Hook_Abuse,304,294,10,0.9671052631578947
malpacdetector_mlp,Trace_Cleanup,30,26,4,0.8666666666666667
malpacdetector_mlp,Code_Structure_Obfuscation,305,274,31,0.898360655737705
malpacdetector_mlp,Anti_Analysis,54,47,7,0.8703703703703703
malpacdetector_mlp,Dependency_Confusion,2,2,0,1.0
malpacdetector_mlp,Environment_Detection,102,69,33,0.6764705882352942
malpacdetector_mlp,Typosquatting,4,3,1,0.75
malpacdetector_mlp,Runtime_Caching,4,4,0,1.0
malpacdetector_nb,Stealth_Execution,228,137,91,0.6008771929824561
malpacdetector_nb,String_Obfuscation,486,352,134,0.7242798353909465
malpacdetector_nb,Encoding_Obfuscation,350,266,84,0.76
malpacdetector_nb,Module_Abuse,163,136,27,0.8343558282208589
malpacdetector_nb,Network_Communication_Hiding,140,122,18,0.8714285714285714
malpacdetector_nb,Silent_Error_Handling,343,289,54,0.8425655976676385
malpacdetector_nb,Hook_Abuse,304,301,3,0.9901315789473685
malpacdetector_nb,Trace_Cleanup,30,30,0,1.0
malpacdetector_nb,Code_Structure_Obfuscation,305,246,59,0.8065573770491803
malpacdetector_nb,Anti_Analysis,54,31,23,0.5740740740740741
malpacdetector_nb,Dependency_Confusion,2,2,0,1.0
malpacdetector_nb,Environment_Detection,102,67,35,0.6568627450980392
malpacdetector_nb,Typosquatting,4,3,1,0.75
malpacdetector_nb,Runtime_Caching,4,4,0,1.0
malpacdetector_svm,Stealth_Execution,228,173,55,0.7587719298245614
malpacdetector_svm,String_Obfuscation,486,434,52,0.8930041152263375
malpacdetector_svm,Encoding_Obfuscation,350,323,27,0.9228571428571428
malpacdetector_svm,Module_Abuse,163,147,16,0.901840490797546
malpacdetector_svm,Network_Communication_Hiding,140,132,8,0.9428571428571428
malpacdetector_svm,Silent_Error_Handling,343,319,24,0.9300291545189504
malpacdetector_svm,Hook_Abuse,304,300,4,0.9868421052631579
malpacdetector_svm,Trace_Cleanup,30,27,3,0.9
malpacdetector_svm,Code_Structure_Obfuscation,305,278,27,0.9114754098360656
malpacdetector_svm,Anti_Analysis,54,48,6,0.8888888888888888
malpacdetector_svm,Dependency_Confusion,2,2,0,1.0
malpacdetector_svm,Environment_Detection,102,68,34,0.6666666666666666
malpacdetector_svm,Typosquatting,4,3,1,0.75
malpacdetector_svm,Runtime_Caching,4,4,0,1.0
