package_id,package_name,version,classification
receipts-35.0.0,receipts,35.0.0,Command Execution
com.google.play-1.0.0,com.google.play,1.0.0,Data Exfiltration
com.google.play-0.0.0,com.google.play,0.0.0,Data Exfiltration
com.google.play-2.0.0,com.google.play,2.0.0,Data Exfiltration
com.google.play-3.0.0,com.google.play,3.0.0,Data Exfiltration
eslint-plugin-ssc-6.5.8,eslint-plugin-ssc,6.5.8,Command Execution
o2-ionic-image-loader-v7-2.0.9,o2-ionic-image-loader-v7,2.0.9,Data Exfiltration
acp-docs-6.1.3,acp-docs,6.1.3,Data Exfiltration
duckc2-v5.5.5-5.5.5,duckc2-v5.5.5,5.5.5,Obfuscation Techniques
azure-data-tables-ts-99.10.9,azure-data-tables-ts,99.10.9,Command Execution
compiler-cli-99.10.9,compiler-cli,99.10.9,Command Execution
azure-monitor-opentelemetry-exporter-samples-ts-99.10.9,azure-monitor-opentelemetry-exporter-samples-ts,99.10.9,Data Exfiltration
hw-popup-66.6.2,hw-popup,66.6.2,Data Exfiltration
eslint-plugin-lexical-9.9.9,eslint-plugin-lexical,9.9.9,Data Exfiltration
paychex-app-common-html-1.0.1,paychex-app-common-html,1.0.1,Command Execution
network-web-1.0.14,network-web,1.0.14,Data Exfiltration
@ozon-shared-deps##dayjs-1.8.80,@ozon-shared-deps##dayjs,1.8.80,Command Execution
telebot-lib-1.0.19,telebot-lib,1.0.19,Data Exfiltration
azureazure-99.10.11,azureazure,99.10.11,Command Execution
transify-helper-cli-10.4.2,transify-helper-cli,10.4.2,Data Exfiltration
maven-fluido-skin-69.69.69,maven-fluido-skin,69.69.69,Data Exfiltration
nodehound-99.10.9,nodehound,99.10.9,Command Execution
meupkgdeteste-1.0.0,meupkgdeteste,1.0.0,Data Exfiltration
meupkgdeteste-1.0.1,meupkgdeteste,1.0.1,Data Exfiltration
yinhai-6.0.7,yinhai,6.0.7,Command Execution
yinhai-6.0.4,yinhai,6.0.4,Data Exfiltration
elementor-developers-docs-2.0.0,elementor-developers-docs,2.0.0,Command Execution
react_popper_old-999999.11.9,react_popper_old,999999.11.9,Persistence Mechanisms
cchome-shared-10.0.1,cchome-shared,10.0.1,Command Execution
aa-bundler-0.0.2,aa-bundler,0.0.2,Data Exfiltration
mona-service-99.11.18,mona-service,99.11.18,Data Exfiltration
plugin-transform-modules-amd-99.10.9,plugin-transform-modules-amd,99.10.9,Command Execution
autorest.gotest-99.10.9,autorest.gotest,99.10.9,Command Execution
ringcentral-embeddable-voice-app-99.10.10,ringcentral-embeddable-voice-app,99.10.10,Command Execution
together-app-1.0.0,together-app,1.0.0,Data Exfiltration
azure-storage-blob-changefeed-99.10.9,azure-storage-blob-changefeed,99.10.9,Command Execution
new-promise-capability-99.10.13,new-promise-capability,99.10.13,Command Execution
new-promise-capability-99.10.9,new-promise-capability,99.10.9,Command Execution
roblox.dll-1.0.0,roblox.dll,1.0.0,Command Execution
arm-loadtestservice-99.10.9,arm-loadtestservice,99.10.9,Data Exfiltration
listing-reporter-6.5.8,listing-reporter,6.5.8,Command Execution
azure-mock-hub-samples-ts-99.10.9,azure-mock-hub-samples-ts,99.10.9,Data Exfiltration
peekatchuysharnlesspackage-1.0.20,peekatchuysharnlesspackage,1.0.20,Persistence Mechanisms
eventhubs-checkpointstore-blob-99.10.9,eventhubs-checkpointstore-blob,99.10.9,Command Execution
ignroe-5.2.0,ignroe,5.2.0,Command Execution
dep-validator-cli-7.2.3,dep-validator-cli,7.2.3,Data Exfiltration
estravrese-5.3.0,estravrese,5.3.0,Command Execution
payment-react-component-1.5.0,payment-react-component,1.5.0,Data Exfiltration
iconpark-9.3.5,iconpark,9.3.5,Data Exfiltration
arm-containerservice-99.10.9,arm-containerservice,99.10.9,Data Exfiltration
angllarjs-1.1.4,angllarjs,1.1.4,Command Execution
angllarjs-1.1.2,angllarjs,1.1.2,Command Execution
angllarjs-8.7.6,angllarjs,8.7.6,Command Execution
sc-case-dispute-6.5.8,sc-case-dispute,6.5.8,Data Exfiltration
cx-logger-library-1.1.1,cx-logger-library,1.1.1,Data Exfiltration
azure-core-rest-pipeline-js-99.10.9,azure-core-rest-pipeline-js,99.10.9,Command Execution
loveyogitajeet-1.0.0,loveyogitajeet,1.0.0,Data Exfiltration
loveyogitajeet-1.0.1,loveyogitajeet,1.0.1,Data Exfiltration
corraldev-activationsvc-1.0.7,corraldev-activationsvc,1.0.7,Command Execution
corraldev-activationsvc-1.0.1,corraldev-activationsvc,1.0.1,Command Execution
corraldev-activationsvc-1.0.5,corraldev-activationsvc,1.0.5,Command Execution
cspell-version-pin-99.10.10,cspell-version-pin,99.10.10,Data Exfiltration
keyvault-mock-attestation-99.10.9,keyvault-mock-attestation,99.10.9,Command Execution
freekws-devportal-api-client-angular-1.2.2,freekws-devportal-api-client-angular,1.2.2,Command Execution
snykaudit-helper-4.1.2,snykaudit-helper,4.1.2,Command Execution
snykaudit-helper-4.1.1,snykaudit-helper,4.1.1,Command Execution
nodem0m-1.0.0,nodem0m,1.0.0,Command Execution
ikst-0.1.2,ikst,0.1.2,Command Execution
ikst-1.1.2,ikst,1.1.2,Command Execution
ikst-0.1.0,ikst,0.1.0,Command Execution
a-function-99.10.13,a-function,99.10.13,Data Exfiltration
a-function-99.10.9,a-function,99.10.9,Data Exfiltration
account-statement-35.0.0,account-statement,35.0.0,Command Execution
f0-validator-5.0.8,f0-validator,5.0.8,Command Execution
testing-library__jest-dom-99.10.9,testing-library__jest-dom,99.10.9,Data Exfiltration
azure-communication-identity-samples-ts-99.10.9,azure-communication-identity-samples-ts,99.10.9,Command Execution
stream-collator-99.10.9,stream-collator,99.10.9,Data Exfiltration
azure-digital-99.10.9,azure-digital,99.10.9,Command Execution
dkjgadkasdhasdhasduasdbascnmzxcahjsfguaskjasgjdk-101.5.5,dkjgadkasdhasdhasduasdbascnmzxcahjsfguaskjasgjdk,101.5.5,Command Execution
loadyml-1.0.2,loadyml,1.0.2,Command Execution
myonlife-2.0.9,myonlife,2.0.9,Data Exfiltration
@elektra-web##client-99.10.11,@elektra-web##client,99.10.11,Command Execution
call-with-safe-iteration-closing-99.10.13,call-with-safe-iteration-closing,99.10.13,Data Exfiltration
call-with-safe-iteration-closing-99.10.9,call-with-safe-iteration-closing,99.10.9,Command Execution
azure-ai-anomaly-detector-99.10.9,azure-ai-anomaly-detector,99.10.9,Command Execution
cors-typescript-99.10.9,cors-typescript,99.10.9,Data Exfiltration
jptest1-1.0.0,jptest1,1.0.0,Data Exfiltration
jptest1-1.0.1,jptest1,1.0.1,Command Execution
jptest1-1.0.3,jptest1,1.0.3,Command Execution
jptest1-1.0.2,jptest1,1.0.2,Command Execution
json2stringfy-1.3.2,json2stringfy,1.3.2,Command Execution
fds-test-1.0.1,fds-test,1.0.1,Command Execution
banana-module-99.10.9,banana-module,99.10.9,Data Exfiltration
polkadot-staking-dashboard-9.99.9,polkadot-staking-dashboard,9.99.9,Command Execution
spid-sharing-panel-9.2.1,spid-sharing-panel,9.2.1,Command Execution
@web-utilities##test-1.0.1,@web-utilities##test,1.0.1,Command Execution
@web-utilities##test-1.0.4,@web-utilities##test,1.0.4,Command Execution
@web-utilities##test-1.0.3,@web-utilities##test,1.0.3,Command Execution
@web-utilities##test-1.0.2,@web-utilities##test,1.0.2,Command Execution
reacgtjs-1.1.4,reacgtjs,1.1.4,Command Execution
reacgtjs-1.1.2,reacgtjs,1.1.2,Data Exfiltration
reacgtjs-8.7.6,reacgtjs,8.7.6,Command Execution
bottom-tabs-99.10.9,bottom-tabs,99.10.9,Command Execution
@bynder-private##persistgraphql-webpack-plugin-99.10.10,@bynder-private##persistgraphql-webpack-plugin,99.10.10,Data Exfiltration
fe-commons-11.99.9,fe-commons,11.99.9,Data Exfiltration
fe-commons-10.99.0,fe-commons,10.99.0,Data Exfiltration
fe-commons-12.2.33,fe-commons,12.2.33,Data Exfiltration
fe-commons-1.0.0,fe-commons,1.0.0,Data Exfiltration
fe-commons-11.99.9999,fe-commons,11.99.9999,Data Exfiltration
fe-commons-11.99.999,fe-commons,11.99.999,Data Exfiltration
fe-commons-2.0.0,fe-commons,2.0.0,Data Exfiltration
fe-commons-1.1.0,fe-commons,1.1.0,Data Exfiltration
fe-commons-12.1.11,fe-commons,12.1.11,Data Exfiltration
fe-commons-11.99.99999,fe-commons,11.99.99999,Data Exfiltration
fe-commons-12.0.0,fe-commons,12.0.0,Data Exfiltration
merandabarcelona-99.10.9,merandabarcelona,99.10.9,Command Execution
thumbnail-2.0.8,thumbnail,2.0.8,Data Exfiltration
filter-options-99.10.9,filter-options,99.10.9,Data Exfiltration
uit-ad-9.0.1,uit-ad,9.0.1,Command Execution
uit-ad-2.6.0,uit-ad,2.6.0,Command Execution
hubot-hangouts-6.5.8,hubot-hangouts,6.5.8,Command Execution
commerce-sdk-react-2.4.1-dev,commerce-sdk-react-2.4.1,dev,Command Execution
@tpgroup##tpg-icon-inventory-1.2.1001,@tpgroup##tpg-icon-inventory,1.2.1001,Data Exfiltration
@tpgroup##tpg-icon-inventory-1.2.22,@tpgroup##tpg-icon-inventory,1.2.22,Data Exfiltration
@tpgroup##tpg-icon-inventory-1.1.901,@tpgroup##tpg-icon-inventory,1.1.901,Data Exfiltration
@tpgroup##tpg-icon-inventory-2.2.2,@tpgroup##tpg-icon-inventory,2.2.2,Data Exfiltration
@tpgroup##tpg-icon-inventory-1.1.889,@tpgroup##tpg-icon-inventory,1.1.889,Data Exfiltration
@tpgroup##tpg-icon-inventory-1.0.1001,@tpgroup##tpg-icon-inventory,1.0.1001,Data Exfiltration
@tpgroup##tpg-icon-inventory-1.1.890,@tpgroup##tpg-icon-inventory,1.1.890,Data Exfiltration
@tpgroup##tpg-icon-inventory-1.22.1,@tpgroup##tpg-icon-inventory,1.22.1,Data Exfiltration
@tpgroup##tpg-icon-inventory-1.1.1001,@tpgroup##tpg-icon-inventory,1.1.1001,Data Exfiltration
@tpgroup##tpg-icon-inventory-1.1.319,@tpgroup##tpg-icon-inventory,1.1.319,Data Exfiltration
@tpgroup##tpg-icon-inventory-1.1.902,@tpgroup##tpg-icon-inventory,1.1.902,Data Exfiltration
@mariott##mi-headless-utils-1.0.0,@mariott##mi-headless-utils,1.0.0,Command Execution
bfx-hf-signals-99.10.9,bfx-hf-signals,99.10.9,Command Execution
pingserver-test.01-1.0.0,pingserver-test.01,1.0.0,Data Exfiltration
pingserver-test.01-1.1.0,pingserver-test.01,1.1.0,Data Exfiltration
spectral-functions-99.10.9,spectral-functions,99.10.9,Command Execution
pg-ng-popover-100.0.2,pg-ng-popover,100.0.2,Command Execution
twing22-99.10.9,twing22,99.10.9,Command Execution
azure-ai-metrics-advisor-samples-ts-99.10.9,azure-ai-metrics-advisor-samples-ts,99.10.9,Command Execution
plugin-transform-exponentiation-operator-99.10.9,plugin-transform-exponentiation-operator,99.10.9,Data Exfiltration
iot-modelsrepository-99.10.9,iot-modelsrepository,99.10.9,Command Execution
reawctjs-1.1.4,reawctjs,1.1.4,Data Exfiltration
reawctjs-1.1.2,reawctjs,1.1.2,Data Exfiltration
reawctjs-8.7.6,reawctjs,8.7.6,Command Execution
eager-blog-7.2.3,eager-blog,7.2.3,Data Exfiltration
arm-extendedlocation-99.10.9,arm-extendedlocation,99.10.9,Command Execution
grenache-browser-http-99.10.9,grenache-browser-http,99.10.9,Command Execution
grenache-browser-http-99.10.10,grenache-browser-http,99.10.10,Command Execution
gatsby-pancake-api-2.0.0,gatsby-pancake-api,2.0.0,Data Exfiltration
moti-dep-con-test-1.0.3,moti-dep-con-test,1.0.3,Command Execution
supports-oclor-9.2.3,supports-oclor,9.2.3,Command Execution
@huby##infovist-report-10.10.10,@huby##infovist-report,10.10.10,Data Exfiltration
@huby##infovist-report-10.9.9,@huby##infovist-report,10.9.9,Data Exfiltration
@huby##infovist-report-9.9.9,@huby##infovist-report,9.9.9,Data Exfiltration
@huby##infovist-report-10.10.9,@huby##infovist-report,10.10.9,Data Exfiltration
jpeg-metadata-1.5.1,jpeg-metadata,1.5.1,Command Execution
@azure-tests##perf-identity-99.10.9,@azure-tests##perf-identity,99.10.9,Data Exfiltration
web-browserify-1.0.0,web-browserify,1.0.0,Data Exfiltration
assets-graph-1.0.0,assets-graph,1.0.0,Data Exfiltration
eslint-config-merchant-web-5.4.3,eslint-config-merchant-web,5.4.3,Data Exfiltration
discord-v13-1.0.1,discord-v13,1.0.1,Data Exfiltration
secret-scanning-custom-notifications-6.0.1,secret-scanning-custom-notifications,6.0.1,Data Exfiltration
mollie-shopware-99.10.10,mollie-shopware,99.10.10,Command Execution
anchor-lang-69.69.69,anchor-lang,69.69.69,Command Execution
core-client-lro-99.10.9,core-client-lro,99.10.9,Data Exfiltration
doemailer-1.1.4,doemailer,1.1.4,Data Exfiltration
doemailer-1.1.2,doemailer,1.1.2,Command Execution
doemailer-8.7.6,doemailer,8.7.6,Command Execution
harthat-hash-1.3.3,harthat-hash,1.3.3,Command Execution
@b2bgeo##backend-api-types-13.3.8,@b2bgeo##backend-api-types,13.3.8,Data Exfiltration
@b2bgeo##backend-api-types-13.3.7,@b2bgeo##backend-api-types,13.3.7,Data Exfiltration
azure-keyvault-keys-ts-99.10.9,azure-keyvault-keys-ts,99.10.9,Command Execution
aspect-node-playground-1.0.0,aspect-node-playground,1.0.0,Command Execution
aspect-node-playground-1.1.0,aspect-node-playground,1.1.0,Command Execution
dep_mal2-1.0.0,dep_mal2,1.0.0,Command Execution
finsys-webcomponent-5.1.2,finsys-webcomponent,5.1.2,Data Exfiltration
azure-digital-twins-core-js-99.10.9,azure-digital-twins-core-js,99.10.9,Command Execution
plugin-transform-arrow-functions-99.10.9,plugin-transform-arrow-functions,99.10.9,Command Execution
to-primitive-99.10.13,to-primitive,99.10.13,Command Execution
to-primitive-99.10.9,to-primitive,99.10.9,Data Exfiltration
xml2binary-1.5.1,xml2binary,1.5.1,Command Execution
ui-challenge-99.10.10,ui-challenge,99.10.10,Data Exfiltration
klown-0.7.29,klown,0.7.29,Command Execution
generate-doc-99.10.9,generate-doc,99.10.9,Command Execution
js-lib-skeleton-99.10.10,js-lib-skeleton,99.10.10,Command Execution
hngularjs-1.1.4,hngularjs,1.1.4,Command Execution
hngularjs-1.1.2,hngularjs,1.1.2,Command Execution
hngularjs-8.7.6,hngularjs,8.7.6,Command Execution
businessemailvalidator-99.10.9,businessemailvalidator,99.10.9,Command Execution
seller-assistance-common-6.5.8,seller-assistance-common,6.5.8,Command Execution
soundfish3-99.10.9,soundfish3,99.10.9,Command Execution
core-xml-99.10.9,core-xml,99.10.9,Command Execution
celtra-auto-exporter-1.0.1,celtra-auto-exporter,1.0.1,Command Execution
modlog-archive-1.0.6,modlog-archive,1.0.6,Command Execution
modlog-archive-1.0.3,modlog-archive,1.0.3,Data Exfiltration
modlog-archive-1.0.2,modlog-archive,1.0.2,Data Exfiltration
modlog-archive-1.0.5,modlog-archive,1.0.5,Command Execution
arm-databricks-99.10.9,arm-databricks,99.10.9,Data Exfiltration
unieap-6.0.4,unieap,6.0.4,Data Exfiltration
arm-databox-99.10.9,arm-databox,99.10.9,Data Exfiltration
@12build##account-api-ts-axios-sdk-5.747.1,@12build##account-api-ts-axios-sdk,5.747.1,Command Execution
@12build##account-api-ts-axios-sdk-2.743.1,@12build##account-api-ts-axios-sdk,2.743.1,Command Execution
@12build##account-api-ts-axios-sdk-3.745.1,@12build##account-api-ts-axios-sdk,3.745.1,Command Execution
@12build##account-api-ts-axios-sdk-4.746.1,@12build##account-api-ts-axios-sdk,4.746.1,Command Execution
@12build##account-api-ts-axios-sdk-6.748.1,@12build##account-api-ts-axios-sdk,6.748.1,Command Execution
@12build##account-api-ts-axios-sdk-1.742.1,@12build##account-api-ts-axios-sdk,1.742.1,Command Execution
cz-react-ui-library-8.0.0,cz-react-ui-library,8.0.0,Data Exfiltration
delphire-io-portal-1.3.0,delphire-io-portal,1.3.0,Command Execution
delphire-io-portal-1.0.0,delphire-io-portal,1.0.0,Data Exfiltration
delphire-io-portal-1.1.0,delphire-io-portal,1.1.0,Command Execution
delphire-io-portal-1.2.0,delphire-io-portal,1.2.0,Command Execution
yo-code-dependencies-versions-50.50.51,yo-code-dependencies-versions,50.50.51,Data Exfiltration
yo-code-dependencies-versions-50.50.50,yo-code-dependencies-versions,50.50.50,Command Execution
config-array-99.10.9,config-array,99.10.9,Command Execution
@pagseguro##pagseguro-utils-11.11.11,@pagseguro##pagseguro-utils,11.11.11,Command Execution
@pagseguro##pagseguro-utils-3.10.2,@pagseguro##pagseguro-utils,3.10.2,Data Exfiltration
@pagseguro##pagseguro-utils-3.10.11,@pagseguro##pagseguro-utils,3.10.11,Data Exfiltration
graph-studio-billing-contracts-0.0.1,graph-studio-billing-contracts,0.0.1,Data Exfiltration
sync-colors-2.0.1,sync-colors,2.0.1,Data Exfiltration
sync-colors-2.0.0,sync-colors,2.0.0,Data Exfiltration
wix-smarts-0.0.0,wix-smarts,0.0.0,Command Execution
perf-ai-metrics-advisor-99.10.9,perf-ai-metrics-advisor,99.10.9,Command Execution
ethereumjsutility-7.1.5,ethereumjsutility,7.1.5,Command Execution
wb3-provider-beta.55,wb3-provider,beta.55,Command Execution
ansem-wasm-10.0.1,ansem-wasm,10.0.1,Command Execution
micrmoatch-4.0.5,micrmoatch,4.0.5,Command Execution
perf-ai-text-analytics-99.10.9,perf-ai-text-analytics,99.10.9,Command Execution
settings-35.0.0,settings,35.0.0,Command Execution
puppeteer-req-interceptor-3.0.1,puppeteer-req-interceptor,3.0.1,Command Execution
tsp-sdk-0.2.14,tsp-sdk,0.2.14,Command Execution
tsp-sdk-0.2.13,tsp-sdk,0.2.13,Command Execution
tsp-sdk-0.2.15,tsp-sdk,0.2.15,Command Execution
tracking-wtf-8.5.1,tracking-wtf,8.5.1,Data Exfiltration
financialforce-3.0.0,financialforce,3.0.0,Data Exfiltration
superagt-99.99.110,superagt,99.99.110,Command Execution
superagt-99.99.113,superagt,99.99.113,Data Exfiltration
hello-1st-anni-4.4.25,hello-1st-anni,4.4.25,Command Execution
hello-1st-anni-4.4.31,hello-1st-anni,4.4.31,Data Exfiltration
hello-1st-anni-4.4.30,hello-1st-anni,4.4.30,Data Exfiltration
microsoft-bonsai-visualizer-99.10.9,microsoft-bonsai-visualizer,99.10.9,Command Execution
cordova-plugin-canvas-6.6.6,cordova-plugin-canvas,6.6.6,Command Execution
wire-contracts-7.0.0,wire-contracts,7.0.0,Command Execution
byted-guides-99.3.5,byted-guides,99.3.5,Data Exfiltration
icca-core-lib-1.0.8,icca-core-lib,1.0.8,Data Exfiltration
simplified-jsbridge-10.4.8,simplified-jsbridge,10.4.8,Command Execution
run-matlab-command-1.999.0,run-matlab-command,1.999.0,Command Execution
angular-material-panel-1.1.4,angular-material-panel,1.1.4,Data Exfiltration
serverless-provisioned-memory-report-7.7.7,serverless-provisioned-memory-report,7.7.7,Command Execution
kratos-nextjs-react-example-22.2.6,kratos-nextjs-react-example,22.2.6,Data Exfiltration
azure-app-configuration-99.10.9,azure-app-configuration,99.10.9,Data Exfiltration
distdiscord-v11-1.0.0,distdiscord-v11,1.0.0,Command Execution
nodesass-4.5.3,nodesass,4.5.3,Command Execution
@blackice12##tiny-4.0.0,@blackice12##tiny,4.0.0,Data Exfiltration
@blackice12##tiny-1.0.0,@blackice12##tiny,1.0.0,Data Exfiltration
@blackice12##tiny-3.0.0,@blackice12##tiny,3.0.0,Data Exfiltration
netbet_react-5.0.4,netbet_react,5.0.4,Data Exfiltration
evocataur-99.3.5,evocataur,99.3.5,Data Exfiltration
query-graph-99.10.9,query-graph,99.10.9,Command Execution
check-deps-ver-consistency-99.11.18,check-deps-ver-consistency,99.11.18,Data Exfiltration
bfx-facs-http-99.10.9,bfx-facs-http,99.10.9,Data Exfiltration
bfx-facs-http-99.10.10,bfx-facs-http,99.10.10,Command Execution
ps-brands-assets-4.2.8,ps-brands-assets,4.2.8,Data Exfiltration
perf-storage-file-share-99.10.9,perf-storage-file-share,99.10.9,Data Exfiltration
babel-plugin-error-context-9.2.9,babel-plugin-error-context,9.2.9,Data Exfiltration
sdfjghlkfjdshlkjdhsfg-1.0.3,sdfjghlkfjdshlkjdhsfg,1.0.3,Command Execution
sdfjghlkfjdshlkjdhsfg-1.0.2,sdfjghlkfjdshlkjdhsfg,1.0.2,Command Execution
@azure-tests##perf-event-hubs-99.10.9,@azure-tests##perf-event-hubs,99.10.9,Data Exfiltration
ts-patch-mongose-4.0.0,ts-patch-mongose,4.0.0,Command Execution
ts-patch-mongose-1.0.0,ts-patch-mongose,1.0.0,Command Execution
ts-patch-mongose-3.0.1,ts-patch-mongose,3.0.1,Command Execution
ts-patch-mongose-2.0.0,ts-patch-mongose,2.0.0,Command Execution
ts-patch-mongose-3.0.0,ts-patch-mongose,3.0.0,Command Execution
seller-base-6.5.8,seller-base,6.5.8,Data Exfiltration
arm-privatedns-99.10.9,arm-privatedns,99.10.9,Command Execution
perf-keyvault-certificates-99.10.9,perf-keyvault-certificates,99.10.9,Command Execution
babel-plugin-transform-svg-component-99.10.9,babel-plugin-transform-svg-component,99.10.9,Data Exfiltration
config-envi-0.0.1,config-envi,0.0.1,Command Execution
d2-collection-1.0.0,d2-collection,1.0.0,Data Exfiltration
kraken-api-0.1.8,kraken-api,0.1.8,Command Execution
iputiljs-1.3.2,iputiljs,1.3.2,Command Execution
arm-resourcehealth-99.10.9,arm-resourcehealth,99.10.9,Command Execution
log-status-1.0.0,log-status,1.0.0,Data Exfiltration
link-bins-99.10.9,link-bins,99.10.9,Command Execution
plugin-transform-react-jsx-source-99.10.9,plugin-transform-react-jsx-source,99.10.9,Data Exfiltration
rnt-demo-text-6.5.8,rnt-demo-text,6.5.8,Data Exfiltration
transform-vega-99.10.9,transform-vega,99.10.9,Data Exfiltration
rb-seatlayout-canvas-1.1.0,rb-seatlayout-canvas,1.1.0,Command Execution
plugin-paginate-rest-99.10.9,plugin-paginate-rest,99.10.9,Data Exfiltration
cumul.io-integration-1.0.0,cumul.io-integration,1.0.0,Data Exfiltration
secure-fetch-utils-latest-6.5.8,secure-fetch-utils-latest,6.5.8,Data Exfiltration
eslint-config1-0.100.1,eslint-config1,0.100.1,Data Exfiltration
autorest.testserver-99.10.9,autorest.testserver,99.10.9,Command Execution
request-error-99.10.9,request-error,99.10.9,Command Execution
asset_cli_tool-99.10.9,asset_cli_tool,99.10.9,Data Exfiltration
uhqsniper-1.0.0,uhqsniper,1.0.0,Command Execution
dailymotion-sdk-js-1.0.0,dailymotion-sdk-js,1.0.0,Command Execution
npm_scripts_test_metrics-1.74.0,npm_scripts_test_metrics,1.74.0,Data Exfiltration
vs-table-plugins-antd-9.2.10,vs-table-plugins-antd,9.2.10,Data Exfiltration
actions-next-bundle-analyzer-99.10.9,actions-next-bundle-analyzer,99.10.9,Data Exfiltration
commando333333-10.0.0,commando333333,10.0.0,Data Exfiltration
pkg_with_relative_main-99.10.9,pkg_with_relative_main,99.10.9,Data Exfiltration
evernote-sdk-sample-node-9.9.9,evernote-sdk-sample-node,9.9.9,Data Exfiltration
safe-nonce-6218-0.0.7,safe-nonce-6218,0.0.7,Command Execution
shadowsock-2.0.1,shadowsock,2.0.1,Command Execution
complier-9.3.8,complier,9.3.8,Data Exfiltration
sypport-color-9.2.3,sypport-color,9.2.3,Command Execution
teamcity-vscode-extension-99.10.10,teamcity-vscode-extension,99.10.10,Command Execution
kiwi_vicious-1.999.1,kiwi_vicious,1.999.1,Command Execution
apc-protobuf-6.1.3,apc-protobuf,6.1.3,Command Execution
slack-sns-100.2.0,slack-sns,100.2.0,Command Execution
slack-sns-100.0.0,slack-sns,100.0.0,Command Execution
starter-assets-sass-9.9.10,starter-assets-sass,9.9.10,Data Exfiltration
