tool,technique,total_packages,detected,missed,detection_rate
genie,large_file_padding,10,0,10,0.0
genie,postinstall_hook_abuse,31,15,16,0.4838709677419355
genie,minimal_code,16,12,4,0.75
genie,anti_tamper,3,0,3,0.0
genie,file_cleanup,30,1,29,0.03333333333333333
genie,silent_error_handling,362,238,124,0.6574585635359116
genie,custom_string_decryption,1,0,1,0.0
genie,sandbox_detection,2,2,0,1.0
genie,base32_encoding,9,7,2,0.7777777777777778
genie,code_obfuscation,1,0,1,0.0
genie,shell_expansion,2,0,2,0.0
genie,anti_debugging,8,4,4,0.5
genie,runtime_caching,4,0,4,0.0
genie,multi_platform_support,37,8,29,0.21621621621621623
genie,string_splitting,32,16,16,0.5
genie,unicode_escape_encoding,1,0,1,0.0
genie,network_traffic_blending,108,87,21,0.8055555555555556
genie,prepare_hook_abuse,3,0,3,0.0
genie,dns_exfiltration,18,5,13,0.2777777777777778
genie,timestamp_preservation,1,0,1,0.0
genie,anti_tampering,3,0,3,0.0
genie,typosquatting,4,0,4,0.0
genie,unicode_obfuscation,5,0,5,0.0
genie,ip_spoofing,1,1,0,1.0
genie,timing_based_evasion,10,1,9,0.1
genie,conditional_execution,149,63,86,0.4228187919463087
genie,base58_encoding,1,0,1,0.0
genie,install_script_abuse,16,0,16,0.0
genie,encrypted_communication,1,0,1,0.0
genie,built_in_module_abuse,169,118,51,0.6982248520710059
genie,code_splitting,5,0,5,0.0
genie,brotli_encoding,2,0,2,0.0
genie,string_obfuscation,512,324,188,0.6328125
genie,environment_detection,81,34,47,0.41975308641975306
genie,error_suppression,11,6,5,0.5454545454545454
genie,base64_encoding,209,29,180,0.13875598086124402
genie,test_script_abuse,1,0,1,0.0
genie,variable_indirection,294,204,90,0.6938775510204082
genie,dependency_confusion,6,2,4,0.3333333333333333
genie,hex_encoding,154,79,75,0.512987012987013
guarddog,preinstall_hook_abuse,314,314,0,1.0
guarddog,multi_endpoint_exfiltration,8,5,3,0.625
guarddog,legitimate_api_abuse,31,27,4,0.8709677419354839
guarddog,event_based_execution,50,7,43,0.14
guarddog,prototype_pollution,1,0,1,0.0
guarddog,dynamic_evaluation,75,23,52,0.30666666666666664
guarddog,background_execution,10,5,5,0.5
guarddog,control_flow_flattening,108,64,44,0.5925925925925926
guarddog,anti_static_analysis,36,10,26,0.2777777777777778
guarddog,user_agent_spoofing,12,11,1,0.9166666666666666
guarddog,large_file_padding,10,0,10,0.0
guarddog,postinstall_hook_abuse,31,31,0,1.0
guarddog,minimal_code,16,16,0,1.0
guarddog,anti_tamper,3,0,3,0.0
guarddog,file_cleanup,30,30,0,1.0
guarddog,silent_error_handling,362,305,57,0.8425414364640884
guarddog,custom_string_decryption,1,0,1,0.0
guarddog,sandbox_detection,2,2,0,1.0
guarddog,base32_encoding,9,8,1,0.8888888888888888
guarddog,code_obfuscation,1,0,1,0.0
guarddog,shell_expansion,2,2,0,1.0
guarddog,anti_debugging,8,1,7,0.125
guarddog,runtime_caching,4,3,1,0.75
guarddog,multi_platform_support,37,33,4,0.8918918918918919
guarddog,string_splitting,32,22,10,0.6875
guarddog,unicode_escape_encoding,1,1,0,1.0
guarddog,network_traffic_blending,108,107,1,0.9907407407407407
guarddog,prepare_hook_abuse,3,0,3,0.0
guarddog,dns_exfiltration,18,18,0,1.0
guarddog,timestamp_preservation,1,0,1,0.0
guarddog,anti_tampering,3,0,3,0.0
guarddog,typosquatting,4,3,1,0.75
guarddog,unicode_obfuscation,5,0,5,0.0
guarddog,ip_spoofing,1,0,1,0.0
guarddog,timing_based_evasion,10,5,5,0.5
guarddog,conditional_execution,149,107,42,0.7181208053691275
guarddog,base58_encoding,1,0,1,0.0
guarddog,install_script_abuse,16,16,0,1.0
guarddog,encrypted_communication,1,0,1,0.0
guarddog,built_in_module_abuse,169,148,21,0.8757396449704142
guarddog,code_splitting,5,5,0,1.0
guarddog,brotli_encoding,2,0,2,0.0
guarddog,string_obfuscation,512,323,189,0.630859375
guarddog,environment_detection,81,42,39,0.5185185185185185
guarddog,error_suppression,11,7,4,0.6363636363636364
guarddog,base64_encoding,209,134,75,0.6411483253588517
guarddog,test_script_abuse,1,1,0,1.0
guarddog,variable_indirection,294,204,90,0.6938775510204082
guarddog,dependency_confusion,6,6,0,1.0
guarddog,hex_encoding,154,144,10,0.935064935064935
sap_RF,preinstall_hook_abuse,314,234,80,0.7452229299363057
sap_RF,multi_endpoint_exfiltration,8,5,3,0.625
sap_RF,legitimate_api_abuse,31,22,9,0.7096774193548387
sap_RF,event_based_execution,50,0,50,0.0
sap_RF,prototype_pollution,1,0,1,0.0
sap_RF,dynamic_evaluation,75,8,67,0.10666666666666667
sap_RF,background_execution,10,1,9,0.1
sap_RF,control_flow_flattening,108,6,102,0.05555555555555555
sap_RF,anti_static_analysis,36,2,34,0.05555555555555555
sap_RF,user_agent_spoofing,12,0,12,0.0
sap_RF,large_file_padding,10,0,10,0.0
sap_RF,postinstall_hook_abuse,31,13,18,0.41935483870967744
sap_RF,minimal_code,16,12,4,0.75
sap_RF,anti_tamper,3,0,3,0.0
sap_RF,file_cleanup,30,3,27,0.1
sap_RF,silent_error_handling,362,200,162,0.5524861878453039
sap_RF,custom_string_decryption,1,0,1,0.0
sap_RF,sandbox_detection,2,1,1,0.5
sap_RF,base32_encoding,9,8,1,0.8888888888888888
sap_RF,code_obfuscation,1,0,1,0.0
sap_RF,shell_expansion,2,2,0,1.0
sap_RF,anti_debugging,8,0,8,0.0
sap_RF,runtime_caching,4,2,2,0.5
sap_RF,multi_platform_support,37,30,7,0.8108108108108109
sap_RF,string_splitting,32,8,24,0.25
sap_RF,unicode_escape_encoding,1,0,1,0.0
sap_RF,network_traffic_blending,108,92,16,0.8518518518518519
sap_RF,prepare_hook_abuse,3,0,3,0.0
sap_RF,dns_exfiltration,18,18,0,1.0
sap_RF,timestamp_preservation,1,0,1,0.0
sap_RF,anti_tampering,3,0,3,0.0
sap_RF,typosquatting,4,3,1,0.75
sap_RF,unicode_obfuscation,5,0,5,0.0
sap_RF,ip_spoofing,1,0,1,0.0
sap_RF,timing_based_evasion,10,5,5,0.5
sap_RF,conditional_execution,149,48,101,0.3221476510067114
sap_RF,base58_encoding,1,0,1,0.0
sap_RF,install_script_abuse,16,16,0,1.0
sap_RF,encrypted_communication,1,0,1,0.0
sap_RF,built_in_module_abuse,169,123,46,0.727810650887574
sap_RF,code_splitting,5,5,0,1.0
sap_RF,brotli_encoding,2,0,2,0.0
sap_RF,string_obfuscation,512,160,352,0.3125
sap_RF,environment_detection,81,9,72,0.1111111111111111
sap_RF,error_suppression,11,1,10,0.09090909090909091
sap_RF,base64_encoding,209,98,111,0.4688995215311005
sap_RF,test_script_abuse,1,1,0,1.0
sap_RF,variable_indirection,294,110,184,0.3741496598639456
sap_RF,dependency_confusion,6,6,0,1.0
sap_RF,hex_encoding,154,146,8,0.948051948051948
packj_trace,preinstall_hook_abuse,314,306,8,0.9745222929936306
packj_trace,multi_endpoint_exfiltration,8,7,1,0.875
packj_trace,legitimate_api_abuse,31,31,0,1.0
packj_trace,event_based_execution,50,46,4,0.92
packj_trace,prototype_pollution,1,1,0,1.0
packj_trace,dynamic_evaluation,75,75,0,1.0
packj_trace,background_execution,10,9,1,0.9
packj_trace,control_flow_flattening,108,102,6,0.9444444444444444
packj_trace,anti_static_analysis,36,36,0,1.0
packj_trace,user_agent_spoofing,12,12,0,1.0
packj_trace,large_file_padding,10,10,0,1.0
packj_trace,postinstall_hook_abuse,31,26,5,0.8387096774193549
packj_trace,minimal_code,16,16,0,1.0
packj_trace,anti_tamper,3,3,0,1.0
packj_trace,file_cleanup,30,18,12,0.6
packj_trace,silent_error_handling,362,355,7,0.9806629834254144
packj_trace,custom_string_decryption,1,1,0,1.0
packj_trace,sandbox_detection,2,2,0,1.0
packj_trace,base32_encoding,9,9,0,1.0
packj_trace,code_obfuscation,1,1,0,1.0
packj_trace,shell_expansion,2,2,0,1.0
packj_trace,anti_debugging,8,8,0,1.0
packj_trace,runtime_caching,4,4,0,1.0
packj_trace,multi_platform_support,37,36,1,0.972972972972973
packj_trace,string_splitting,32,30,2,0.9375
packj_trace,unicode_escape_encoding,1,1,0,1.0
packj_trace,network_traffic_blending,108,108,0,1.0
packj_trace,prepare_hook_abuse,3,3,0,1.0
packj_trace,dns_exfiltration,18,18,0,1.0
packj_trace,timestamp_preservation,1,1,0,1.0
packj_trace,anti_tampering,3,3,0,1.0
packj_trace,typosquatting,4,4,0,1.0
packj_trace,unicode_obfuscation,5,5,0,1.0
packj_trace,ip_spoofing,1,1,0,1.0
packj_trace,timing_based_evasion,10,10,0,1.0
packj_trace,conditional_execution,149,127,22,0.8523489932885906
packj_trace,base58_encoding,1,1,0,1.0
packj_trace,install_script_abuse,16,16,0,1.0
packj_trace,encrypted_communication,1,1,0,1.0
packj_trace,built_in_module_abuse,169,166,3,0.9822485207100592
packj_trace,code_splitting,5,5,0,1.0
packj_trace,brotli_encoding,2,2,0,1.0
packj_trace,string_obfuscation,512,484,28,0.9453125
packj_trace,environment_detection,81,68,13,0.8395061728395061
packj_trace,error_suppression,11,11,0,1.0
packj_trace,base64_encoding,209,208,1,0.9952153110047847
packj_trace,test_script_abuse,1,1,0,1.0
packj_trace,variable_indirection,294,279,15,0.9489795918367347
packj_trace,dependency_confusion,6,6,0,1.0
packj_trace,hex_encoding,154,154,0,1.0
sap_DT,preinstall_hook_abuse,314,232,82,0.7388535031847133
sap_DT,multi_endpoint_exfiltration,8,5,3,0.625
sap_DT,legitimate_api_abuse,31,22,9,0.7096774193548387
sap_DT,event_based_execution,50,0,50,0.0
sap_DT,prototype_pollution,1,0,1,0.0
sap_DT,dynamic_evaluation,75,8,67,0.10666666666666667
sap_DT,background_execution,10,1,9,0.1
sap_DT,control_flow_flattening,108,6,102,0.05555555555555555
sap_DT,anti_static_analysis,36,2,34,0.05555555555555555
sap_DT,user_agent_spoofing,12,0,12,0.0
sap_DT,large_file_padding,10,0,10,0.0
sap_DT,postinstall_hook_abuse,31,12,19,0.3870967741935484
sap_DT,minimal_code,16,12,4,0.75
sap_DT,anti_tamper,3,0,3,0.0
sap_DT,file_cleanup,30,3,27,0.1
sap_DT,silent_error_handling,362,198,164,0.5469613259668509
sap_DT,custom_string_decryption,1,0,1,0.0
sap_DT,sandbox_detection,2,1,1,0.5
sap_DT,base32_encoding,9,8,1,0.8888888888888888
sap_DT,code_obfuscation,1,0,1,0.0
sap_DT,shell_expansion,2,2,0,1.0
sap_DT,anti_debugging,8,0,8,0.0
sap_DT,runtime_caching,4,2,2,0.5
sap_DT,multi_platform_support,37,30,7,0.8108108108108109
sap_DT,string_splitting,32,8,24,0.25
sap_DT,unicode_escape_encoding,1,0,1,0.0
sap_DT,network_traffic_blending,108,90,18,0.8333333333333334
sap_DT,prepare_hook_abuse,3,0,3,0.0
sap_DT,dns_exfiltration,18,18,0,1.0
sap_DT,timestamp_preservation,1,0,1,0.0
sap_DT,anti_tampering,3,0,3,0.0
sap_DT,typosquatting,4,3,1,0.75
sap_DT,unicode_obfuscation,5,0,5,0.0
sap_DT,ip_spoofing,1,0,1,0.0
sap_DT,timing_based_evasion,10,5,5,0.5
sap_DT,conditional_execution,149,48,101,0.3221476510067114
sap_DT,base58_encoding,1,0,1,0.0
sap_DT,install_script_abuse,16,15,1,0.9375
sap_DT,encrypted_communication,1,0,1,0.0
sap_DT,built_in_module_abuse,169,121,48,0.7159763313609467
sap_DT,code_splitting,5,5,0,1.0
sap_DT,brotli_encoding,2,0,2,0.0
sap_DT,string_obfuscation,512,159,353,0.310546875
sap_DT,environment_detection,81,9,72,0.1111111111111111
sap_DT,error_suppression,11,1,10,0.09090909090909091
sap_DT,base64_encoding,209,97,112,0.46411483253588515
sap_DT,test_script_abuse,1,1,0,1.0
sap_DT,variable_indirection,294,110,184,0.3741496598639456
sap_DT,dependency_confusion,6,6,0,1.0
sap_DT,hex_encoding,154,146,8,0.948051948051948
packj_static,preinstall_hook_abuse,314,306,8,0.9745222929936306
packj_static,multi_endpoint_exfiltration,8,7,1,0.875
packj_static,legitimate_api_abuse,31,31,0,1.0
packj_static,event_based_execution,50,46,4,0.92
packj_static,prototype_pollution,1,1,0,1.0
packj_static,dynamic_evaluation,75,75,0,1.0
packj_static,background_execution,10,9,1,0.9
packj_static,control_flow_flattening,108,101,7,0.9351851851851852
packj_static,anti_static_analysis,36,36,0,1.0
packj_static,user_agent_spoofing,12,12,0,1.0
packj_static,large_file_padding,10,10,0,1.0
packj_static,postinstall_hook_abuse,31,26,5,0.8387096774193549
packj_static,minimal_code,16,16,0,1.0
packj_static,anti_tamper,3,3,0,1.0
packj_static,file_cleanup,30,18,12,0.6
packj_static,silent_error_handling,362,355,7,0.9806629834254144
packj_static,custom_string_decryption,1,1,0,1.0
packj_static,sandbox_detection,2,2,0,1.0
packj_static,base32_encoding,9,9,0,1.0
packj_static,code_obfuscation,1,1,0,1.0
packj_static,shell_expansion,2,2,0,1.0
packj_static,anti_debugging,8,8,0,1.0
packj_static,runtime_caching,4,4,0,1.0
packj_static,multi_platform_support,37,36,1,0.972972972972973
packj_static,string_splitting,32,30,2,0.9375
packj_static,unicode_escape_encoding,1,1,0,1.0
packj_static,network_traffic_blending,108,108,0,1.0
packj_static,prepare_hook_abuse,3,3,0,1.0
packj_static,dns_exfiltration,18,18,0,1.0
packj_static,timestamp_preservation,1,1,0,1.0
packj_static,anti_tampering,3,3,0,1.0
packj_static,typosquatting,4,4,0,1.0
packj_static,unicode_obfuscation,5,5,0,1.0
packj_static,ip_spoofing,1,1,0,1.0
packj_static,timing_based_evasion,10,10,0,1.0
packj_static,conditional_execution,149,127,22,0.8523489932885906
packj_static,base58_encoding,1,1,0,1.0
packj_static,install_script_abuse,16,16,0,1.0
packj_static,encrypted_communication,1,1,0,1.0
packj_static,built_in_module_abuse,169,166,3,0.9822485207100592
packj_static,code_splitting,5,5,0,1.0
packj_static,brotli_encoding,2,2,0,1.0
packj_static,string_obfuscation,512,483,29,0.943359375
packj_static,environment_detection,81,68,13,0.8395061728395061
packj_static,error_suppression,11,11,0,1.0
packj_static,base64_encoding,209,208,1,0.9952153110047847
packj_static,test_script_abuse,1,1,0,1.0
packj_static,variable_indirection,294,278,16,0.9455782312925171
packj_static,dependency_confusion,6,6,0,1.0
packj_static,hex_encoding,154,154,0,1.0
